"","Country.Region","Lat","Long","X1.22.20","X1.23.20","X1.24.20","X1.25.20","X1.26.20","X1.27.20","X1.28.20","X1.29.20","X1.30.20","X1.31.20","X2002.1.20","X2002.2.20","X2002.3.20","X2002.4.20","X2002.5.20","X2002.6.20","X2002.7.20","X2002.8.20","X2002.9.20","X2002.10.20","X2002.11.20","X2002.12.20","X2.13.20","X2.14.20","X2.15.20","X2.16.20","X2.17.20","X2.18.20","X2.19.20","X2.20.20","X2.21.20","X2.22.20","X2.23.20","X2.24.20","X2.25.20","X2.26.20","X2.27.20","X2.28.20","X2.29.20","X2003.1.20","X2003.2.20","X2003.3.20","X2003.4.20","X2003.5.20","X2003.6.20","X2003.7.20","X2003.8.20","X2003.9.20","X2003.10.20","X2003.11.20","X2003.12.20","X3.13.20","X3.14.20","X3.15.20","X3.16.20","X3.17.20","X3.18.20","X3.19.20","X3.20.20","X3.21.20","X3.22.20","X3.23.20","X3.24.20","X3.25.20","X3.26.20","X3.27.20","X3.28.20","X3.29.20","X3.30.20","X3.31.20","X2004.1.20","X2004.2.20","X2004.3.20","X2004.4.20","X2004.5.20","X2004.6.20","X2004.7.20","X2004.8.20","X2004.9.20","X2004.10.20","X2004.11.20","X2004.12.20","X4.13.20","X4.14.20","X4.15.20","X4.16.20","X4.17.20","X4.18.20","X4.19.20","X4.20.20","X4.21.20","X4.22.20","X4.23.20","X4.24.20","X4.25.20","X4.26.20","X4.27.20","X4.28.20","X4.29.20","X4.30.20","X2005.1.20","X2005.2.20","X2005.3.20","X2005.4.20","X2005.5.20","X2005.6.20","X2005.7.20","X2005.8.20","X2005.9.20","X2005.10.20","X2005.11.20","X2005.12.20","X5.13.20","X5.14.20","X5.15.20","X5.16.20","X5.17.20","X5.18.20","X5.19.20","X5.20.20","X5.21.20","X5.22.20","X5.23.20","X5.24.20","X5.25.20","X5.26.20","X5.27.20","X5.28.20","X5.29.20","X5.30.20","X5.31.20","X2006.1.20","X2006.2.20","X2006.3.20","X2006.4.20","X2006.5.20","X2006.6.20","X2006.7.20","X2006.8.20","X2006.9.20","X2006.10.20","X2006.11.20","X2006.12.20","X6.13.20","X6.14.20","X6.15.20","X6.16.20","X6.17.20","X6.18.20","X6.19.20","X6.20.20","X6.21.20","X6.22.20","X6.23.20","X6.24.20","X6.25.20","X6.26.20","X6.27.20","X6.28.20","X6.29.20","X6.30.20"
"15","Iceland","64.9631","-19.0208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","6","11","26","34","43","50","50","58","69","85","103","134","156","171","180","220","250","330","409","473","568","588","648","737","802","890","963","1020","1086","1135","1220","1319","1364","1417","1486","1562","1586","1616","1648","1675","1689","1701","1711","1720","1727","1739","1754","1760","1771","1773","1778","1785","1789","1789","1790","1792","1792","1795","1797","1797","1798","1798","1799","1799","1799","1799","1801","1801","1801","1801","1801","1801","1802","1802","1802","1802","1802","1802","1802","1803","1803","1803","1804","1804","1804","1804","1805","1805","1805","1806","1806","1806","1806","1806","1806","1806","1806","1807","1807","1807","1807","1807","1807","1808","1810","1811","1812","1812","1814","1815","1815","1815","1815","1815","1817","1818","1820","1820","1821","1822","1824"
"16","Ireland","53.1424","-7.6921","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","6","6","18","18","19","21","34","43","43","90","129","129","169","223","292","557","683","785","906","1125","1329","1564","1819","2121","2415","2615","2910","3235","3447","3849","4273","4604","4994","5364","5709","6074","6574","8089","8928","9655","10647","11479","12547","13271","13980","14758","15251","15652","16040","16671","17607","18184","18561","19262","19648","19877","20253","20612","20833","21176","21506","21772","21983","22248","22385","22541","22760","22996","23135","23242","23401","23827","23956","24048","24112","24200","24251","24315","24391","24506","24582","24639","24698","24735","24803","24841","24876","24929","24990","25062","25066","25111","25142","25163","25183","25201","25207","25215","25231","25238","25250","25295","25303","25321","25334","25341","25355","25368","25374","25379","25383","25391","25396","25405","25414","25437","25439","25462","25473"
"17","Israel","31.046051","34.851612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","3","4","7","10","10","12","15","20","37","43","61","61","75","79","100","126","155","213","218","250","304","427","529","712","883","1071","1238","2369","2693","3035","3619","4247","4695","5358","6092","6857","7428","7851","8430","8904","9248","9404","9968","10408","10743","11145","11586","12046","12501","12758","12982","13265","13491","13713","13942","14498","14803","15058","15298","15443","15555","15728","15834","15946","16101","16185","16208","16246","16289","16310","16381","16436","16454","16477","16506","16529","16548","16579","16589","16608","16617","16643","16659","16667","16683","16690","16712","16717","16734","16757","16793","16872","16987","17012","17071","17169","17285","17377","17495","17562","17752","17863","18032","18180","18355","18569","18795","18972","19055","19237","19495","19783","20036","20339","20633","20778","21082","21512","22044","22400","22800","23421","23755","24441","25244"
"18","Italy","41.87194","12.56738","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","20","62","155","229","322","453","655","888","1128","1694","2036","2502","3089","3858","4636","5883","7375","9172","10149","12462","15113","17660","21157","24747","27980","31506","35713","41035","47021","53578","59138","63927","69176","74386","80589","86498","92472","97689","101739","105792","110574","115242","119827","124632","128948","132547","135586","139422","143626","147577","152271","156363","159516","162488","165155","168941","172434","175925","178972","181228","183957","187327","189973","192994","195351","197675","199414","201505","203591","205463","207428","209328","210717","211938","213013","214457","215858","217185","218268","219070","219814","221216","222104","223096","223885","224760","225435","225886","226699","227364","228006","228658","229327","229858","230158","230555","231139","231732","232248","232664","232997","233197","233515","233836","234013","234531","234801","234998","235278","235561","235763","236142","236305","236651","236989","237290","237500","237828","238159","238011","238275","238499","238720","238833","239410","239706","239961","240136","240310","240436","240578"
"19","Japan","36.204824","138.252924","2","2","2","2","4","4","7","7","11","15","20","20","20","22","23","23","23","24","24","26","27","28","33","43","54","60","67","79","85","95","112","137","149","160","173","192","218","236","245","259","278","298","333","365","420","466","499","527","585","640","696","733","795","826","843","893","928","968","1022","1059","1104","1144","1217","1314","1416","1530","1728","1907","2001","2255","2535","2818","3154","3525","3876","4110","4485","5020","5614","6250","6951","7473","7773","8277","8835","9398","9958","10548","10914","11258","11641","12037","12469","12854","13186","13405","13576","13860","14076","14284","14558","14861","15061","15229","15354","15455","15553","15640","15755","15824","15861","15948","15998","16096","16148","16202","16226","16259","16287","16321","16362","16385","16410","16451","16472","16502","16528","16598","16673","16716","16751","16787","16837","16867","16911","16958","17000","17039","17060","17111","17146","17187","17250","17293","17369","17439","17484","17530","17588","17658","17725","17780","17820","17879","17963","18055","18162","18254","18366","18476","18615"
"20","Korea, Rep.","35.907757","127.766922","1","1","2","2","3","4","4","4","4","11","12","15","15","16","19","23","24","24","25","27","28","28","28","28","28","29","30","31","31","104","204","433","602","833","977","1261","1766","2337","3150","3736","4335","5186","5621","6088","6593","7041","7314","7478","7513","7755","7869","7979","8086","8162","8236","8320","8413","8565","8652","8799","8961","8961","9037","9137","9241","9332","9478","9583","9661","9786","9887","9976","10062","10156","10237","10284","10331","10384","10423","10450","10480","10512","10537","10564","10591","10613","10635","10653","10661","10674","10683","10694","10708","10718","10728","10738","10752","10761","10765","10774","10780","10793","10801","10804","10806","10810","10822","10840","10874","10909","10936","10962","10991","11018","11037","11050","11065","11078","11110","11122","11142","11165","11190","11206","11225","11265","11344","11402","11441","11468","11503","11541","11590","11629","11668","11719","11776","11814","11852","11902","11947","12003","12051","12085","12121","12155","12198","12257","12306","12373","12421","12438","12484","12535","12563","12602","12653","12715","12757","12800","12850"
"21","Latvia","56.8796","24.6032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","6","8","10","10","17","26","30","34","49","71","86","111","124","139","180","197","221","244","280","305","347","376","398","446","458","493","509","533","542","548","577","589","612","630","651","655","657","666","675","682","712","727","739","748","761","778","784","804","812","818","836","849","858","870","871","879","896","896","900","909","928","930","939","946","950","951","962","970","997","1008","1009","1012","1016","1025","1030","1046","1047","1049","1053","1057","1061","1064","1065","1066","1066","1071","1079","1082","1085","1086","1088","1088","1089","1092","1094","1096","1097","1097","1097","1098","1104","1108","1110","1111","1111","1111","1111","1111","1111","1112","1115","1116","1117","1118"
"22","Lithuania","55.1694","23.8813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","3","3","6","8","12","17","25","27","36","49","83","143","179","209","274","299","358","394","460","491","537","581","649","696","771","811","843","880","912","955","999","1026","1053","1062","1070","1091","1128","1149","1239","1298","1326","1350","1370","1398","1410","1426","1438","1449","1344","1375","1385","1399","1406","1410","1419","1423","1428","1433","1436","1444","1479","1485","1491","1505","1511","1523","1534","1541","1547","1562","1577","1593","1604","1616","1623","1635","1639","1647","1656","1662","1670","1675","1678","1682","1684","1687","1694","1705","1714","1720","1727","1733","1752","1756","1763","1768","1773","1776","1778","1784","1792","1795","1798","1801","1803","1804","1806","1808","1813","1815","1816","1817"
"23","Luxembourg","49.8153","6.1296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","3","3","5","7","19","34","51","59","77","140","203","335","484","670","798","875","1099","1333","1453","1605","1831","1950","1988","2178","2319","2487","2612","2729","2804","2843","2970","3034","3115","3223","3270","3281","3292","3307","3373","3444","3480","3537","3550","3558","3618","3654","3665","3695","3711","3723","3729","3741","3769","3784","3802","3812","3824","3828","3840","3851","3859","3871","3877","3886","3888","3894","3904","3915","3923","3930","3945","3947","3958","3971","3980","3981","3990","3992","3993","3995","4001","4008","4012","4016","4018","4019","4020","4024","4027","4032","4035","4039","4040","4046","4049","4052","4055","4063","4070","4072","4075","4085","4091","4099","4105","4120","4121","4133","4140","4151","4173","4217","4242","4256","4299"
"24","Mexico","23.6345","-102.5528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","5","5","5","5","6","6","7","7","7","8","12","26","41","53","82","93","118","164","203","251","316","367","405","475","585","717","848","993","1094","1215","1378","1510","1688","1890","2143","2439","2785","3181","3441","3844","4219","4661","5014","5399","5847","6297","6875","7497","8261","8772","9501","10544","11633","12872","13842","14677","15529","16752","17799","19224","20739","22088","23471","24905","26025","27634","29616","31522","33460","35022","36327","38324","40186","42595","45032","47144","49219","51633","54346","56594","59567","62527","65856","68620","71105","74560","78023","81400","84627","87512","90664","93435","97326","101238","105680","110026","113619","117103","120102","124301","129184","133974","139196","142690","146837","150264","154863","159793","165455","170485","175202","180545","185122","191410","196847","202951","208392","212802","216852","220657","226089"
