"","newy","meantreat15","x","Date.closed.K.12.schools","Closed.non.essential.businesses","Mandate.face.mask.use.by.employees.in.public.facing.businesses","State.of.emergency","totalTestResults","id","days","newcase"
"1",NA,0,0,NA,NA,NA,NA,NA,1,1,0
"2",0,0,0,NA,NA,NA,NA,NA,1,2,0
"3",0,0,0,1,1,1,1,NA,1,3,0
"4",0,0,0,1,1,1,1,NA,1,4,0
"5",0,0,0,1,1,1,1,NA,1,5,0
"6",0,0,0,1,1,1,1,NA,1,6,0
"7",0,0,0,1,1,1,1,NA,1,7,0
"8",0,0,0,1,1,1,1,NA,1,8,0
"9",0,0,0,1,1,1,1,NA,1,9,0
"10",0,0,0,1,1,1,1,NA,1,10,0
"11",0,0,0,1,1,1,1,NA,1,11,0
"12",0,0,0,1,1,1,1,NA,1,12,0
"13",0,0,0,1,1,1,1,NA,1,13,0
"14",0,0,0,1,1,1,1,NA,1,14,0
"15",0,0,0,1,1,1,1,NA,1,15,0
"16",0,0,0,1,1,1,1,NA,1,16,0
"17",0,0,0,1,1,1,1,NA,1,17,0
"18",0,0,0,1,1,1,1,NA,1,18,0
"19",0,0,0,1,1,1,1,NA,1,19,0
"20",0,0,0,1,1,1,1,NA,1,20,0
"21",0,0,0,1,1,1,1,NA,1,21,0
"22",0,0,0,1,1,1,1,NA,1,22,0
"23",0,0,0,1,1,1,1,NA,1,23,0
"24",0,0,0,1,1,1,1,NA,1,24,0
"25",0,0,0,1,1,1,1,NA,1,25,0
"26",0,0,0,1,1,1,1,NA,1,26,0
"27",0,0,0,1,1,1,1,NA,1,27,0
"28",0,0,0,1,1,1,1,NA,1,28,0
"29",0,0,0,1,1,1,1,NA,1,29,0
"30",0,0,0,1,1,1,1,NA,1,30,0
"31",0,0,0,1,1,1,1,NA,1,31,0
"32",0,0,0,1,1,1,1,NA,1,32,0
"33",0,0,0,1,1,1,1,NA,1,33,0
"34",0,0,0,1,1,1,1,NA,1,34,0
"35",0,0,0,1,1,1,1,NA,1,35,0
"36",0,0,0,1,1,1,1,NA,1,36,0
"37",0,0,0,1,1,1,1,NA,1,37,0
"38",0,0,0,1,1,1,1,NA,1,38,0
"39",0,0,0,1,1,1,1,NA,1,39,0
"40",0,0,0,1,1,1,1,NA,1,40,0
"41",0,0,0,1,1,1,1,NA,1,41,0
"42",0,0,0,1,1,1,1,NA,1,42,0
"43",0,0,0,1,1,1,1,NA,1,43,0
"44",0,0,0,1,1,1,1,NA,1,44,0
"45",0,0,0,1,1,1,1,NA,1,45,0
"46",0,0,0,1,1,1,1,NA,1,46,0
"47",0,0,0,1,1,1,1,0,1,47,0
"48",0,0,0,1,1,1,1,0,1,48,0
"49",0,0,0,1,1,1,1,0,1,49,0
"50",0,0,0,1,1,1,1,0,1,50,0
"51",0,0,0,1,1,1,1,10,1,51,0
"52",1.79175946922805,0,0,1,1,1,1,10,1,52,5
"53",-0.693147180559945,0,0,1,1,1,1,12,1,53,2
"54",0.51082562376599,0,0,1,1,1,0,28,1,54,4
"55",1.33500106673234,0,0,1,1,1,0,40,1,55,18
"56",-0.54654370636807,0,0,1,1,1,0,56,1,56,10
"57",0.167054084663166,0,0,1,1,1,0,64,1,57,12
"58",0.767255152713667,0,0,1,1,1,0,74,1,58,27
"59",0.0350913198112703,0,0,1,1,1,0,96,1,59,28
"60",-0.109199291964992,0,0,0,1,1,0,109,1,60,25
"61",0.037740327982847,0,0,0,1,1,0,152,1,61,26
"62",0.393042588109607,0,0,0,1,1,0,1602,1,62,39
"63",0.161268147596122,0,0,0,1,1,0,1832,1,63,46
"64",1.09149482089925,0,0,0,1,1,0,2321,1,64,139
"65",-0.0216614967811788,0,0,0,1,1,0,2812,1,65,136
"66",-0.65730104878681,0,0,0,1,1,0,4099,1,66,70
"67",0.419451350082904,0,0,0,1,1,0,4771,1,67,107
"68",0.200670695462151,0,0,0,1,1,0,4880,1,68,131
"69",-0.56531380905006,0,0,0,0,1,0,4990,1,69,74
"70",0.17114825619583,0,0,0,0,1,0,6553,1,70,88
"71",-0.184571276527969,0,0,0,0,1,0,7279,1,71,73
"72",0.854990206010359,0,0,0,0,1,0,7774,1,72,173
"73",0.413098732963236,0,0,0,0,1,0,8736,1,73,262
"74",-0.784662289395719,0.0666666666666667,1,0,0,1,0,9619,1,74,119
"75",0.236388778064231,0.133333333333333,1,0,0,1,0,10853,1,75,151
"76",0.212561441983673,0.2,1,0,0,1,0,13078,1,76,187
"77",0.14805309995914,0.266666666666667,1,0,0,1,0,14765,1,77,217
"78",-0.309321247555262,0.333333333333333,1,0,0,1,0,14916,1,78,159
"79",0.854415328156068,0.4,1,0,0,1,0,19122,1,79,375
"80",-0.428330932845167,0.466666666666667,1,0,0,1,0,20827,1,80,244
"81",0.100860610334974,0.533333333333333,1,0,0,1,0,21026,1,81,270
"82",0.247205959067158,0.6,1,0,0,1,0,21249,1,82,346
"83",-0.701830303133407,0.666666666666667,1,0,0,1,0,21583,1,83,171
"84",0.246133069538909,0.733333333333333,1,0,0,1,0,29182,1,84,219
"85",-0.581443190979945,0.8,1,0,0,1,0,33117,1,85,122
"86",0.789934465507284,0.866666666666667,1,0,0,1,0,34077,1,86,270
"87",-0.177168803398298,0.933333333333333,1,0,0,1,0,36391,1,87,226
"88",-0.469122959880142,1,1,0,0,1,0,37848,1,88,141
"89",0.220322674972568,1,1,0,0,1,0,42538,1,89,176
"90",0.0813456394539527,1,1,0,0,1,0,45712,1,90,191
"91",0.21896817990373,1,1,0,0,1,0,45900,1,91,238
"92",0.147553954255828,1,1,0,0,1,0,48526,1,92,276
"93",-0.143378582845347,1,1,0,0,1,0,48760,1,93,239
"94",-0.207639364778244,1,1,0,0,1,0,52641,1,94,194
"95",-5.27299955856375,1,1,0,0,1,0,52695,1,95,0
"96",5.98141421125448,1,1,0,0,1,0,71344,1,96,395
"97",-1.20229071814295,1,1,0,0,1,0,73551,1,97,118
"98",0.577462781560483,1,1,0,0,1,0,73997,1,98,211
"99",-0.26283607386525,1,1,0,0,1,0,75827,1,99,162
"100",0.0823995317670665,1,1,0,0,1,0,80449,1,100,176
"101",0.15656906069154,1,1,0,0,1,0,87196,1,101,206
"102",0.429332589514808,1,1,0,0,1,0,91933,1,102,317
"103",-0.13443026908954,1,1,0,0,1,0,92209,1,103,277
