"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,135,135,135
"22",24,146,146,146
"23",25,157.859914903204,157.947763812238,157.903589378966
"24",26,164.617616656972,164.856747829922,164.736222683949
"25",27,174.073377145636,174.65006377389,174.358243562375
"26",28,185.633078678411,187.095129055776,186.35075838992
"27",29,191.502603491559,193.651730426904,192.55299610707
"28",30,273.234807592848,277.366648805884,275.244346785171
"29",31,401.695109783285,410.983691265752,406.190324952415
"30",32,672.5829380763,697.075525346835,684.425026187237
"31",33,929.015965653201,968.396433443639,948.058650939517
"32",34,1209.21843781044,1272.02855597964,1239.56069592229
"33",35,1438.93823227738,1522.715229708,1479.27168094582
"34",36,1828.11607144127,1955.57503242852,1889.19603231821
"35",37,2487.99941910045,2699.18755175764,2588.71415937134
"36",38,3199.20945099444,3512.16366106511,3348.06805398123
"37",39,4162.77444281048,4624.58479788994,4382.04160858041
"38",40,5286.00793523278,5894.53935087944,5574.57667969573
"39",41,6201.96009089029,6962.1918104968,6561.44557274846
"40",42,7368.85757746187,8352.39560695777,7832.3900004454
"41",43,8530.56338563551,9695.74558286698,9078.31822970728
"42",44,10034.6914618225,11440.144984819,10694.2234972121
"43",45,11823.4097868422,13565.5789004572,12638.1790449065
"44",46,13805.8344892539,15930.7381364802,14797.5369042276
"45",47,15971.1232762335,18490.6479387745,17145.7901740372
"46",48,18288.2301641783,21251.8606707123,19668.187758822
"47",49,20647.3779198935,24320.435755869,22341.8028550327
"48",50,24433.6029767548,29143.431087091,26587.2663891939
"49",51,27382.1310195304,32673.6550564321,29795.3872321979
"50",52,36200.1640109853,43118.9108746387,39342.5788151448
"51",53,42165.2655671079,50409.7368483352,45900.7033948456
"52",54,48134.0526912624,58019.9142315418,52592.8545440218
"53",55,54785.6621158287,67120.1334928171,60304.5875406944
"54",56,61459.8711213136,76342.8680870854,68053.8649741293
"55",57,68837.7200492268,87138.8405722194,76843.8841619047
"56",58,79080.6539548049,102126.125638275,89053.8000655037
"57",59,89557.2059905282,117663.274930749,101582.563711594
"58",60,100969.321928108,134559.73444321,115234.179900265
"59",61,110994.433848826,149813.027443772,127344.897409401
"60",62,121575.961663667,168258.434901407,140996.745818634
"61",63,132084.257265009,185769.936335612,154219.152577548
"62",64,144511.333910713,207592.595819572,170277.072658749
"63",65,158700.784814573,232526.283717024,188559.246385667
"64",66,173640.437767438,258038.310247144,207516.141356313
"65",67,188529.900935203,284113.207459233,226639.959600845
"66",68,201314.391923775,305667.915073918,242738.639682029
"67",69,213239.319459648,327777.139471572,258455.381860478
"68",70,227107.406977823,353124.659825471,276575.005095015
"69",71,241063.425713031,378498.172362066,294768.151515218
"70",72,255382.072609825,403923.501809487,313225.167919244
"71",73,269706.513366316,429524.158588551,331708.883955838
"72",74,283661.659062364,453342.171877073,349327.114260567
"73",75,296883.541868695,475055.471535258,365719.925956341
"74",76,308739.555712335,495248.022622898,380615.234827266
"75",77,321398.201961799,517061.618313522,396607.465641357
"76",78,335754.504177258,541488.737132255,414664.995131668
"77",79,350169.175968522,565627.620099828,432650.507174684
"78",80,365309.157580257,590537.915314043,451377.980590454
"79",81,380092.511734964,613194.96261321,469064.628175791
"80",82,396841.911781186,645222.706119156,491292.218443454
"81",83,408103.107168288,663333.409810036,505037.071419745
"82",84,418972.60573706,680836.219685836,518287.044245758
"83",85,431008.933335219,701588.289708746,533484.308078164
"84",86,447056.365396499,730385.889186113,554177.597903154
"85",87,460315.3314645,752051.851006176,570512.596209224
"86",88,471067.312328786,768163.585163999,583192.601195872
"87",89,484361.230191387,789001.150502709,598995.241353948
"88",90,495378.643214845,805670.197550713,611922.196395641
"89",91,507363.860651832,823703.019958455,625956.300852905
"90",92,517952.928100831,841272.383663195,639088.609170518
"91",93,530355.144252497,860424.795994775,653932.092698978
"92",94,541007.808600971,876127.182176025,666366.81190579
"93",95,553430.730981495,892961.008957765,680359.341467633
"94",96,562658.276957395,906036.542788202,690960.310850904
"95",97,574024.024014264,921096.169374724,703615.179531308
"96",98,584725.971430643,935814.984073844,715713.893512019
"97",99,594123.521759275,949606.627817357,726643.255480406
"98",100,602376.035566112,962437.743867893,736499.634954915
"99",101,610649.947119642,975022.002111602,746285.980012003
"100",102,619152.591718463,987507.499644688,756191.326587342
"101",103,625592.340114506,997585.822270577,763921.305365705
"102",104,631395.976125942,1006546.09723557,770812.579128003
"103",105,638705.984939141,1017293.77457148,779311.256453028
"104",106,649164.13859475,1031397.37498552,791032.547357176
"105",107,657067.379959908,1043414.96627642,800363.485457885
"106",108,665390.867608186,1055483.09770178,809990.819135734
"107",109,671431.381420078,1065423.31715812,817393.44536048
