"","date","low_bound","up_bound","cumcase_predicted"
"1",3,6,6,6
"2",4,7,7,7
"3",5,15,15,15
"4",6,18,18,18
"5",7,26,26,26
"6",8,29,29,29
"7",9,36,36,36
"8",10,55,55,55
"9",11,69,69,69
"10",12,74,74,74
"11",13,82,82,82
"12",14,87,87,87
"13",15,93,93,93
"14",16,98,98,98
"15",17,104,104,104
"16",18,114,114,114
"17",19,118,118,118
"18",20,122,122,122
"19",21,127,127,127
"20",22,129,129,129
"21",23,135,135,135
"22",24,146,146,146
"23",25,158,158,158
"24",26,165,165,165
"25",27,175,175,175
"26",28,188,188,188
"27",29,195,195,195
"28",30,280,280,280
"29",31,417,417,417
"30",32,713,713,713
"31",33,994.85325779761,997.183489664896,996.031778532432
"32",34,1316.83959516846,1327.42398986865,1322.17460617343
"33",35,1586.5119473037,1610.24588524449,1598.42539039213
"34",36,2063.18726151267,2126.34882251946,2094.65283541743
"35",37,2900.34863132395,3068.00465413097,2983.06110265593
"36",38,3840.85891688622,4182.70812466668,4007.85718751991
"37",39,5156.6181612765,5819.45477863557,5476.47554338028
"38",40,6671.77016729691,7815.14079583625,7216.27197846779
"39",41,7997.14131773131,9667.3558946613,8782.77847271439
"40",42,9807.28936609722,12452.4593538641,11028.5943330938
"41",43,11531.333835127,15168.2478267633,13184.0451078781
"42",44,13809.6498199224,19007.5423990846,16121.3211251717
"43",45,16634.3753510624,23934.0173003326,19804.3242092944
"44",46,19977.345146727,30871.4458287244,24562.4174267043
"45",47,23672.7210420521,39415.2451183584,30091.6643915298
"46",48,27848.0799163383,50470.8158876813,36765.1831279478
"47",49,32176.3337405563,59329.8476116758,42676.9285552598
"48",50,39725.8440908667,81114.4301349455,54985.0124832355
"49",51,45969.5838406805,106446.657090842,67327.8768779233
"50",52,60260.303937685,143771.515421977,88720.5469906533
"51",53,72280.9082338706,193717.986141692,111839.564112301
"52",54,85435.1325720541,254319.103285134,138287.147608388
"53",55,100985.741278436,322621.728737315,168034.724420421
"54",56,117896.663511076,410090.09065704,203142.683072713
"55",57,139221.475524077,534338.839758098,249946.889453411
"56",58,168811.144737959,722646.413473183,316976.24206564
"57",59,202035.574417898,970871.228176838,398834.851166669
"58",60,239045.215795791,1292412.93910922,496727.715838446
"59",61,274020.144312852,1623336.42341607,592456.197985147
"60",62,316848.682198689,1976324.95276596,698275.500791548
"61",63,360489.198084854,2434017.81392293,821338.334073267
"62",64,415268.545221404,2997882.49417708,971526.833565255
"63",65,482427.120794406,3801150.14907806,1171024.91481595
"64",66,553026.324032683,4729998.86606975,1390807.7176541
"65",67,628642.55526418,5857417.22526669,1640267.15553866
"66",68,694008.137905969,7015775.88034356,1876273.94465047
"67",69,763745.196192452,8160381.58992003,2115019.63189636
"68",70,845374.859689764,9577776.80990289,2400930.23589992
"69",71,933900.547526571,11511875.7692308,2752108.00706575
"70",72,1026347.85511184,13800382.9009453,3144558.25886998
"71",73,1123762.82310351,16494367.6126724,3580094.96951324
"72",74,1218149.41146718,19748956.4671303,4052825.23947548
"73",75,1307167.90697378,23271275.6671568,4532824.99058619
"74",76,1394532.17758568,26858339.7136652,5009144.65018573
"75",77,1491041.68848922,30749216.6665345,5529974.04467072
"76",78,1605626.61705489,36448727.4474116,6220065.85176682
"77",79,1724605.7051567,43651484.2484258,7010325.43843934
"78",80,1848344.03990795,51802506.538501,7861881.9667092
"79",81,1968565.04340543,62684443.0910705,8844951.2342764
"80",82,2145449.27122982,75072441.9405429,10070729.7161259
"81",83,2251437.92753634,86015715.8191722,10990603.4311986
"82",84,2358141.38610797,98317136.6116165,11962794.3042083
"83",85,2490095.88441684,112738449.421854,13135798.0362953
"84",86,2682208.15084571,136522009.253113,14937983.0684992
"85",87,2837182.839733,162263907.751048,16658588.1623875
"86",88,2958670.65343338,190717766.310209,18273881.937871
"87",89,3117941.10920928,222707457.524641,20193349.8439991
"88",90,3249939.61850335,252054960.586595,21881271.3957891
"89",91,3400195.46372304,292760197.22739,23997537.251738
"90",92,3563689.46522434,350588048.715837,26654724.7813862
"91",93,3734766.99486842,408577233.967602,29352692.5277799
"92",94,3886786.69918103,481482834.078077,32225892.2611423
"93",95,4038730.91418551,552833675.238008,35036656.4857977
"94",96,4172404.25661683,633914739.946028,37880013.0286135
"95",97,4317412.01472696,712051620.294592,40745116.1517568
"96",98,4473296.25353561,818851406.570836,44214919.5433328
"97",99,4640206.71140794,950308710.374461,48268885.450234
"98",100,4802787.26366721,1092113049.42334,52388288.4899813
"99",101,4969525.62591931,1266024459.55684,57017043.934896
"100",102,5131765.77070144,1461876658.18584,61797370.0163758
"101",103,5273316.35619862,1640237282.39468,66072078.7070826
"102",104,5405416.1684843,1827550906.35937,70289889.1078186
"103",105,5562146.07857768,2042556889.84833,75236391.1435001
"104",106,5765555.68462282,2374367585.37902,82210573.453186
"105",107,5964254.87564718,2760612109.5321,89678549.0840545
"106",108,6163450.21221288,3194539177.27352,97562037.1476378
"107",109,6336131.8530938,3609403962.64742,104564232.77367
"108",110,6489788.10155362,3999343368.25585,111075163.117905
