"","Variable","estimate","std.error","p.value","95% CI"
"1","Intercept",0.157,0.0218,6.81e-13,"[0.114,0.199]"
"2","Stay at home policy history",-0.17,0.0256,3.18e-11,"[-0.22,-0.12]"
